"","Total.Entries","CS","ID","RD1","RD2","RD3","RD4","RD5","R1","R2","R3","R4","R5","RD_sum","R_sum","CurrentLabel","NextLabel"
"31",1,0,1,3,3,3,3,3,15,15,15,15,15,3,15,0,0
"32",1,0,1,3,3,3,3,3,18,18,18,18,18,3,18,2,2
"33",1,0,1,3,3,3,3,3,22,22,22,22,22,3,22,2,0
"34",1,0,1,3,3,3,3,3,32,32,32,32,32,3,32,2,2
"35",1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1
"36",1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,2,0
"37",1,0,1,4,4,4,4,4,5,5,5,5,5,4,5,0,0
"38",1,0,1,4,4,4,4,4,5,5,5,5,5,4,5,1,0
"39",1,0,1,4,4,4,4,4,5,5,5,5,5,4,5,2,0
"40",1,0,1,4,4,4,4,4,6,6,6,6,6,4,6,1,2
"41",1,0,1,4,4,4,4,4,6,6,6,6,6,4,6,2,2
"42",1,0,1,4,4,4,4,4,7,7,7,7,7,4,7,0,0
"43",1,0,1,4,4,4,4,4,8,8,8,8,8,4,8,2,2
"44",1,0,1,4,4,4,4,4,9,9,9,9,9,4,9,2,1
"45",1,0,1,4,4,4,4,4,10,10,10,10,10,4,10,1,0
"46",1,0,1,4,4,4,4,4,20,20,20,20,20,4,20,2,0
"47",1,0,1,5,5,5,5,5,6,6,6,6,6,5,6,2,2
"48",1,0,1,5,5,5,5,5,10,10,10,10,10,5,10,2,0
"49",1,0,1,5,5,5,5,5,11,11,11,11,11,5,11,2,1
"50",1,0,1,5,5,5,5,5,12,12,12,12,12,5,12,1,2
"51",1,0,1,5,5,5,5,5,12,12,12,12,12,5,12,2,2
"52",1,0,1,5,5,5,5,5,14,14,14,14,14,5,14,2,0
"53",1,0,1,5,5,5,5,5,18,18,18,18,18,5,18,2,0
"54",1,0,1,5,5,5,5,5,19,19,19,19,19,5,19,0,0
"55",1,0,1,5,5,5,5,5,22,22,22,22,22,5,22,2,2
"56",1,0,1,5,5,5,5,5,30,30,30,30,30,5,30,2,0
"57",1,0,1,5,5,5,5,5,32,32,32,32,32,5,32,2,2
"58",1,0,1,6,6,6,6,6,8,8,8,8,8,6,8,0,0
"59",1,0,1,6,6,6,6,6,16,16,16,16,16,6,16,0,2
"60",1,0,1,6,6,6,6,6,21,21,21,21,21,6,21,1,2
"61",1,0,1,7,7,7,7,7,10,10,10,10,10,7,10,1,0
"62",1,0,1,7,7,7,7,7,22,22,22,22,22,7,22,2,0
"63",1,0,1,7,7,7,7,7,60,60,60,60,60,7,60,0,0
"64",1,0,1,8,8,8,8,8,11,11,11,11,11,8,11,0,1
"65",1,0,1,8,8,8,8,8,11,11,11,11,11,8,11,1,1
"66",1,0,1,8,8,8,8,8,14,14,14,14,14,8,14,0,2
"67",1,0,1,8,8,8,8,8,16,16,16,16,16,8,16,2,1
"68",1,0,1,8,8,8,8,8,17,17,17,17,17,8,17,0,0
"69",1,0,1,8,8,8,8,8,46,46,46,46,46,8,46,2,1
"70",1,0,1,8,8,8,8,8,53,53,53,53,53,8,53,0,0
"71",1,0,1,9,9,9,9,9,23,23,23,23,23,9,23,0,0
"72",1,0,1,10,10,10,10,10,16,16,16,16,16,10,16,1,0
"73",1,0,1,10,10,10,10,10,44,44,44,44,44,10,44,2,2
"74",1,0,1,11,11,11,11,11,15,15,15,15,15,11,15,2,1
"75",1,0,1,12,12,12,12,12,50,50,50,50,50,12,50,0,0
"76",1,0,1,13,13,13,13,13,23,23,23,23,23,13,23,2,2
"77",1,0,1,15,15,15,15,15,60,60,60,60,60,15,60,0,2
"78",1,0,1,16,16,16,16,16,31,31,31,31,31,16,31,0,2
"79",1,0,1,17,17,17,17,17,23,23,23,23,23,17,23,2,2
"80",1,0,1,17,17,17,17,17,31,31,31,31,31,17,31,0,0
"81",1,0,1,17,17,17,17,17,150,150,150,150,150,17,150,1,2
"82",1,0,1,21,21,21,21,21,107,107,107,107,107,21,107,1,1
"83",1,0,1,22,22,22,22,22,71,71,71,71,71,22,71,1,1
"84",1,0,1,33,33,33,33,33,108,108,108,108,108,33,108,1,1
"85",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"87",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"88",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"89",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"90",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"91",1,1,0,1,1,1,1,1,2,2,2,2,2,1,2,0,2
"92",1,1,0,1,1,1,1,1,2,2,2,2,2,1,2,1,1
"93",1,1,0,1,1,1,1,1,2,2,2,2,2,1,2,2,2
"94",1,1,0,1,1,1,1,1,3,3,3,3,3,1,3,0,0
"95",1,1,0,1,1,1,1,1,3,3,3,3,3,1,3,1,0
"96",1,1,0,1,1,1,1,1,3,3,3,3,3,1,3,2,2
"97",1,1,0,1,1,1,1,1,4,4,4,4,4,1,4,0,2
"98",1,1,0,1,1,1,1,1,4,4,4,4,4,1,4,1,1
"99",1,1,0,1,1,1,1,1,4,4,4,4,4,1,4,2,0
"100",1,1,0,1,1,1,1,1,5,5,5,5,5,1,5,1,0
"101",1,1,0,1,1,1,1,1,5,5,5,5,5,1,5,2,2
"102",1,1,0,1,1,1,1,1,6,6,6,6,6,1,6,1,2
"103",1,1,0,1,1,1,1,1,6,6,6,6,6,1,6,2,0
"104",1,1,0,1,1,1,1,1,7,7,7,7,7,1,7,0,0
"105",1,1,0,1,1,1,1,1,7,7,7,7,7,1,7,2,1
"106",1,1,0,1,1,1,1,1,8,8,8,8,8,1,8,2,0
"107",1,1,0,1,1,1,1,1,9,9,9,9,9,1,9,1,2
"108",1,1,0,1,1,1,1,1,9,9,9,9,9,1,9,2,1
"109",1,1,0,1,1,1,1,1,10,10,10,10,10,1,10,2,2
"110",1,1,0,1,1,1,1,1,11,11,11,11,11,1,11,2,1
"111",1,1,0,1,1,1,1,1,14,14,14,14,14,1,14,2,2
"112",1,1,0,1,1,1,1,1,16,16,16,16,16,1,16,0,0
"113",1,1,0,1,1,1,1,1,17,17,17,17,17,1,17,2,2
"114",1,1,0,1,1,1,1,1,35,35,35,35,35,1,35,2,2
"115",1,1,0,1,1,1,1,1,43,43,43,43,43,1,43,2,2
"116",1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"117",1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"118",1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"119",1,1,0,2,2,2,2,2,3,3,3,3,3,2,3,0,0
"120",1,1,0,2,2,2,2,2,3,3,3,3,3,2,3,1,2
"121",1,1,0,2,2,2,2,2,3,3,3,3,3,2,3,2,2
"122",1,1,0,2,2,2,2,2,4,4,4,4,4,2,4,0,0
"123",1,1,0,2,2,2,2,2,4,4,4,4,4,2,4,1,1
"124",1,1,0,2,2,2,2,2,4,4,4,4,4,2,4,2,1
"125",1,1,0,2,2,2,2,2,5,5,5,5,5,2,5,0,0
