"","pA-0%","pA-25%","pA-50%","pA-75%","pA-100%","pB-0%","pB-25%","pB-50%","pB-75%","pB-100%","pN-0%","pN-25%","pN-50%","pN-75%","pN-100%","CurrentLabel","NextLabel"
"4275",0.426900584795322,0.431286549707602,0.435672514619883,0.440058479532164,0.444444444444444,0.333333333333333,0.361111111111111,0.388888888888889,0.416666666666667,0.444444444444444,0.111111111111111,0.14327485380117,0.175438596491228,0.207602339181287,0.239766081871345,1,1
"4276",0.426900584795322,0.449299349001434,0.471698113207547,0.493095433415368,0.514492753623188,0.333333333333333,0.355072463768116,0.376811594202899,0.405386929176921,0.433962264150943,0.0943396226415094,0.101517637407711,0.108695652173913,0.174230867022629,0.239766081871345,0,2
"4277",0.426900584795322,0.463450292397661,0.5,0.670289855072464,0.840579710144927,0.144927536231884,0.197463768115942,0.25,0.291666666666667,0.333333333333333,0.0144927536231884,0.127129417747267,0.239766081871345,0.244883040935673,0.25,2,2
"4278",0.426900584795322,0.477148922534647,0.527397260273973,0.588698630136986,0.65,0.25,0.272260273972603,0.294520547945205,0.313926940639269,0.333333333333333,0.1,0.139041095890411,0.178082191780822,0.208924136826083,0.239766081871345,0,0
"4279",0.426900584795322,0.477148922534647,0.527397260273973,0.588698630136986,0.65,0.25,0.272260273972603,0.294520547945205,0.313926940639269,0.333333333333333,0.1,0.139041095890411,0.178082191780822,0.208924136826083,0.239766081871345,2,0
"4280",0.426900584795322,0.510571300044984,0.554945054945055,0.595238095238095,0.666666666666667,0.142857142857143,0.208791208791209,0.231125356125356,0.256944444444444,0.333333333333333,0.101851851851852,0.198539886039886,0.235267656320288,0.25125313283208,0.285714285714286,0,0
"4281",0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,1,2
"4282",0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,2,0
"4283",0.428571428571429,0.428571428571429,0.454545454545455,0.470588235294118,0.488549618320611,0.285714285714286,0.352941176470588,0.389312977099237,0.428571428571429,0.545454545454545,0,0.122137404580153,0.142857142857143,0.176470588235294,0.285714285714286,0,2
"4284",0.428571428571429,0.431428571428571,0.434285714285714,0.437142857142857,0.44,0.18,0.242142857142857,0.304285714285714,0.366428571428571,0.428571428571429,0.142857142857143,0.202142857142857,0.261428571428571,0.320714285714286,0.38,2,0
"4285",0.428571428571429,0.440993788819876,0.453416149068323,0.46583850931677,0.478260869565217,0.173913043478261,0.263087843833185,0.35226264418811,0.441437444543035,0.530612244897959,0.0408163265306122,0.11756876663709,0.194321206743567,0.271073646850044,0.347826086956522,2,1
"4286",0.428571428571429,0.444761904761905,0.460952380952381,0.477142857142857,0.493333333333333,0,0.116666666666667,0.233333333333333,0.35,0.466666666666667,0.04,0.172857142857143,0.305714285714286,0.438571428571429,0.571428571428571,2,2
"4287",0.428571428571429,0.446428571428571,0.464285714285714,0.482142857142857,0.5,0.142857142857143,0.19047619047619,0.238095238095238,0.285714285714286,0.333333333333333,0.166666666666667,0.232142857142857,0.297619047619048,0.363095238095238,0.428571428571429,2,2
"4288",0.428571428571429,0.448051948051948,0.477272727272727,0.541666666666667,0.666666666666667,0.166666666666667,0.229166666666667,0.267857142857143,0.327922077922078,0.454545454545455,0.0909090909090909,0.147727272727273,0.208333333333333,0.258928571428571,0.285714285714286,1,2
"4289",0.428571428571429,0.448051948051948,0.477272727272727,0.541666666666667,0.666666666666667,0.166666666666667,0.229166666666667,0.267857142857143,0.327922077922078,0.454545454545455,0.0909090909090909,0.147727272727273,0.208333333333333,0.258928571428571,0.285714285714286,2,2
"4290",0.428571428571429,0.464285714285714,0.488095238095238,0.541666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.380952380952381,0.428571428571429,0.428571428571429,0,0.0714285714285714,0.119047619047619,0.148809523809524,0.166666666666667,2,2
"4291",0.428571428571429,0.464285714285714,0.5,0.583333333333333,0.666666666666667,0.25,0.267857142857143,0.285714285714286,0.30952380952381,0.333333333333333,0,0.125,0.25,0.267857142857143,0.285714285714286,1,2
"4292",0.428571428571429,0.481132075471698,0.621052631578947,0.777777777777778,0.810810810810811,0.111111111111111,0.135135135135135,0.285714285714286,0.305263157894737,0.311320754716981,0.0540540540540541,0.0736842105263158,0.111111111111111,0.207547169811321,0.285714285714286,0,1
"4293",0.428571428571429,0.481132075471698,0.621052631578947,0.777777777777778,0.810810810810811,0.111111111111111,0.135135135135135,0.285714285714286,0.305263157894737,0.311320754716981,0.0540540540540541,0.0736842105263158,0.111111111111111,0.207547169811321,0.285714285714286,2,2
"4294",0.428571428571429,0.496428571428571,0.564285714285714,0.632142857142857,0.7,0.1,0.182142857142857,0.264285714285714,0.346428571428571,0.428571428571429,0.142857142857143,0.157142857142857,0.171428571428571,0.185714285714286,0.2,1,2
"4295",0.428571428571429,0.508313095460489,0.656794425087108,0.777777777777778,1,0,0.194444444444444,0.286742034943474,0.362196765498652,0.495049504950495,0,0,0.0121951219512195,0.111635220125786,0.285714285714286,0,0
"4296",0.428571428571429,0.520284938941655,0.571428571428571,0.610576923076923,0.684210526315789,0.142857142857143,0.232793522267206,0.326923076923077,0.370013568521031,0.571428571428571,0,0.0721153846153846,0.1,0.138648860958366,0.285714285714286,0,1
"4297",0.428571428571429,0.520284938941655,0.571428571428571,0.610576923076923,0.684210526315789,0.142857142857143,0.232793522267206,0.326923076923077,0.370013568521031,0.571428571428571,0,0.0721153846153846,0.1,0.138648860958366,0.285714285714286,1,0
"4298",0.428571428571429,0.567460317460317,0.653558052434457,0.755980861244019,0.928571428571429,0.0714285714285714,0.175837320574163,0.247474747474747,0.336842105263158,0.444444444444444,0,0,0.0671936758893281,0.116666666666667,0.285714285714286,1,0
"4299",0.429602888086643,0.463332925411491,0.494430992736077,0.528571428571428,0.571428571428571,0.2,0.342372881355932,0.398886373370862,0.413099535843218,0.428571428571429,0,0.101694915254237,0.149024046992596,0.193269726663228,0.285714285714286,1,2
"4300",0.430379746835443,0.603448275862069,0.707954545454546,0.804545454545455,0.911111111111111,0.0833333333333333,0.159090909090909,0.207142857142857,0.28448275862069,0.430379746835443,0,0.0535714285714286,0.0971786833855799,0.140144665461121,0.207547169811321,0,2
"4301",0.431818181818182,0.433018565941101,0.43421895006402,0.43541933418694,0.436619718309859,0.386363636363636,0.388364276568502,0.390364916773367,0.392365556978233,0.394366197183099,0.169014084507042,0.172215108834827,0.175416133162612,0.178617157490397,0.181818181818182,2,0
"4302",0.431818181818182,0.456293706293706,0.480769230769231,0.504083245521602,0.527397260273973,0.25,0.272260273972603,0.294520547945205,0.340442092154421,0.386363636363636,0.178082191780822,0.179950186799502,0.181818181818182,0.225524475524476,0.269230769230769,2,0
